,algorithm,dataset,fit_time,score_time,acc,balacc,prec,auc,,,,,,,,,,,
28,EKNN,nottermantrans_selected,2.939069827,0.039978327,1,1,1,1,,,,,,,,,,,
29,EKNN,Leukemia_selected,9.293468555,0.062751265,0.980952381,0.973333333,1,1,,,,,,,,,,,
30,EKNN,centralNervous_selected,6.567933639,0.053803722,0.611111111,0.549047619,0.42,0.594642857,,,,,,,,,,,
31,NN,KentRidge_selected,0.499580012,0.000193415,0.888034188,0.878333333,0.862619048,0.945416667,,,,,,,,,,,
32,NN,GDS3257_selected,0.609845002,0.000103784,1,1,1,1,,,,,,,,,,,
33,NN,nottermantrans_selected,0.478037304,0.000320799,1,1,1,1,,,,,,,,,,,
34,NN,Leukemia_selected,0.671031078,0.000165009,0.985714286,0.98,1,1,,,,,,,,,,,
35,NN,centralNervous_selected,0.595078044,0.000244279,0.694444444,0.581071429,0.466666667,0.709821429,,,,,,,,,,,
36,RF,KentRidge_selected,0.519567225,0.001169521,0.886752137,0.87,0.874285714,0.96125,,,,,,,,,,,
37,RF,GDS3257_selected,0.494138082,0.000676633,1,1,1,1,,,,,,,,,,,
38,RF,nottermantrans_selected,0.484366947,0.002014179,1,1,1,1,,,,,,,,,,,
39,RF,Leukemia_selected,0.501467519,0.001019427,0.981269841,0.976666667,0.988888889,1,,,,,,,,,,,
40,RF,centralNervous_selected,0.496581104,0.001217757,0.794444444,0.726904762,0.894444444,0.892738095,,,,,,,,,,,
41,NB,KentRidge_selected,0.002776172,0.000197009,0.898290598,0.886666667,0.876507937,0.950416667,,,,,,,,,,,
42,NB,GDS3257_selected,0.002776331,0.000119344,1,1,1,1,,,,,,,,,,,
43,NB,nottermantrans_selected,0.002887964,0.000348533,0.991666667,0.991666667,1,1,,,,,,,,,,,
44,NB,Leukemia_selected,0.002887938,0.000172726,1,1,1,1,,,,,,,,,,,
45,NB,centralNervous_selected,0.002888415,0.000255399,0.633333333,0.581428571,0.474444444,0.64577381,,,,,,,,,,,
46,SVM,KentRidge_selected,0.001998848,0.000189853,0.876923077,0.856666667,0.874285714,0.938333333,,,,,,,,,,,
47,SVM,GDS3257_selected,0.001999378,9.55E-05,1,1,1,1,,,,,,,,,,,
48,SVM,nottermantrans_selected,0.002110667,0.000330018,1,1,1,1,,,,,,,,,,,
49,SVM,Leukemia_selected,0.002331575,0.000141888,0.980952381,0.973333333,1,1,,,,,,,,,,,
50,SVM,centralNervous_selected,0.002110031,0.000188756,0.65,0.5,0,0.653571429,,,,,,,,,,,
51,kNNKD,KentRidge_selected,0.001555178,0.000277593,0.865811966,0.84,0.887222222,0.899166667,,,,,,,,,,,
52,kNNKD,GDS3257_selected,0.002110296,0.000200286,1,1,1,1,,,,,,,,,,,
53,kNNKD,nottermantrans_selected,0.001777199,0.000527451,1,1,1,1,,,,,,,,,,,
54,kNNKD,Leukemia_selected,0.002109872,0.000246765,0.976507937,0.966666667,1,0.98,,,,,,,,,,,
55,kNNKD,centralNervous_selected,0.001665963,0.000257248,0.6,0.547857143,0.460634921,0.633928571,,,,,,,,,,,
